GPE,Latitude,Longitude,group_ID,sum
West Bank,31.9465703,35.3027226,114,1
Mississippi,32.3546679,-89.3985283,115,1
Jo Drive,32.6291368,-96.8626703,116,1
San Diego,32.715738,-117.1610838,117,1
Phoenix,33.4483771,-112.0740373,118,1
Orange County,33.7174708,-117.8311428,119,1
Palm Desert,33.7210509,-116.3760455,120,1
Rancho Mirage,33.739744,-116.41279,121,1
Palm Springs City Hall,33.824045,-116.5114939,122,1
Palm Spring,33.8302961,-116.5452921,123,3
Palm Spring,33.8302961,-116.5452921,123,3
Palm Spring,33.8302961,-116.5452921,123,3
Afghanistan,33.93911,67.709953,124,1
Malibu,34.0380585,-118.6923438,125,1
Los Angeles,34.0522342,-118.2436849,126,2
Los Angeles,34.0522342,-118.2436849,126,2
Hollywood,34.0928092,-118.3286614,127,1
Tupelo Beach,34.2576066,-88.7033859,128,1
Hiroshima,34.3852894,132.4553055,129,1
Syria,34.802075,38.996815,130,1
Arkansaw,35.20105,-91.8318334,131,1
Charlotte,35.2270869,-80.8431267,132,1
Tokyo,35.6761919,139.6503106,133,1
Pleasant Park,35.7020037,-78.8855228,134,1
China,35.86166,104.195397,135,1
Las Vegas,36.171563,-115.1391009,136,1
Vegas,36.171563,-115.1391009,136,1
Las!,36.171563,-115.1391009,136,1
Japan,36.204824,138.252924,137,1
California,36.778261,-119.4179324,138,1
Ne• Tum,36.8924433,15.0651945,139,1
East Beach,36.9275731,-76.1852736,140,1
United States of America,37.09024,-95.712891,141,2
United States of America,37.09024,-95.712891,141,2
Catania,37.5078772,15.0830304,142,1
Richmond,37.5407246,-77.4360481,143,1
Seoul,37.5518911,126.9917937,144,1
San Francisco,37.7749295,-122.4194155,145,1
Kentucky,37.8393332,-84.2700179,146,1
St Louis',38.6270025,-90.1994042,147,1
Washington,38.9071923,-77.0368707,148,2
Washington,38.9071923,-77.0368707,148,2
Delaware,38.9108325,-75.5276699,149,1
Turkey,38.963745,35.243322,150,1
Kansas,39.011902,-98.4842465,151,1
Old City,39.9500455,-75.1438117,152,1
Anchorage Beach,40.3673046,-73.9735742,153,1
Spain,40.463667,-3.74922,154,1
Flemington,40.5123258,-74.8593318,155,1
Indiana,40.5512165,-85.6023643,156,1
Brooklyn,40.6781784,-73.9441579,157,1
New York,40.7127753,-74.0059728,158,1
Queens,40.7282239,-73.7948516,159,1
Manhattan,40.7830603,-73.9712488,160,1
Puglia,40.7928393,17.1011931,161,1
Montville,40.9148209,-74.383763,162,1
Bari,41.1171432,16.8718715,163,1
Pa,41.2033216,-77.1945247,164,1
Davenport,41.5236437,-90.5776367,165,1
St Kilda,41.573812,-93.7085556,166,1
Connecticut,41.6032207,-73.087749,167,1
Crescent City,41.7557501,-124.2025913,168,1
Providence,41.8239891,-71.4128343,169,1
North Dighton,41.8644591,-71.1300338,170,1
Italy,41.87194,12.56738,171,1
Saint Minerva,41.8979888,12.4780226,172,1
Rome,41.9027835,12.4963655,173,1
Tower Hill,42.360568,-71.7274885,174,1
Htl'M'.9)Ma',42.4072107,-71.3824374,175,1
Malden,42.4250964,-71.066163,176,1
Westmere,42.6911891,-73.8687343,177,1
Florence,43.7695604,11.2558136,178,1
Collingwood,44.5007687,-80.2169047,179,1
Oak Island,44.5122805,-64.2949465,180,1
Bordeaux,44.837789,-0.57918,181,1
