news_url,outlet,outlet_latitude,outlet_longitude,gpe,gpe_latitude,gpe_longitude,gpe_county,gpe_occurrences,group_ID,gpe_new,gpe_sum,Quadrant
https://6abc.com/society/aunt-jemima-to-change-brand-because-of-racial-stereotypes/6251840/,6abc.com,41.1288481,-74.6868815,Big Rapids,43.6980782,-85.4836557,Mecosta County,1,1435,Big Rapids,1,Quadrant 1
https://6abc.com/judge-in-jussie-smollett-case-rules-to-keep-dan-webb-as-special-prosecutor/5591125/,6abc.com,41.1288481,-74.6868815,Streeterville,41.8927362,-87.6200416,Cook County,1,1323,Streeterville,1,Quadrant 1
https://6abc.com/health/local-hospitals-begin-vaccinating-frontline-workers/8797698/,6abc.com,41.1288481,-74.6868815,Bayhealth,39.1516324,-75.5235835,Kent County,1,676,Bayhealth,1,Quadrant 1
https://6abc.com/home/dashed-dreams--a-promised-renovation-revoked/5386039/,6abc.com,41.1288481,-74.6868815,Exeter Township,40.3135643,-75.8185314,Berks County,1,1068,Exeter Township,1,Quadrant 1
https://6abc.com/food/national-food-co-op-month-new-vegan-offerings-and-fall-fitness-around-philadelphia/5649195/,6abc.com,41.1288481,-74.6868815,Lancaster Ave,40.3120509,-75.9490189,Berks County,1,1067,Lancaster Ave,1,Quadrant 1
https://6abc.com/health/opioid-crisis-action-news-investigates-safe-injection-sites/3790196/,6abc.com,41.1288481,-74.6868815,Moss Park,43.6533799,-79.3691046,Toronto,1,1434,Moss Park,1,Quadrant 1
https://6abc.com/health/fda-wants-stronger-warning-on-breast-implants-about-risks/5641640/,6abc.com,41.1288481,-74.6868815,Strathmere,39.1952015,-74.6590059,Cape May County,1,682,Strathmere,1,Quadrant 1
https://6abc.com/ridley-township-first-responders-memorial-vandalized-/7002584/,6abc.com,41.1288481,-74.6868815,Dennis Township,39.1958623,-74.8156199,Cape May County,1,683,Dennis Township,1,Quadrant 1
https://6abc.com/800000-californians-may-have-power-cut-to-help-prevent-wildfires/5603495/,6abc.com,41.1288481,-74.6868815,Colusa,39.2143343,-122.0094175,Colusa County,1,685,Colusa,1,Quadrant 1
https://6abc.com/business/business-owners-relieved-as-no-new-restrictions-announced-in-nj/8696644/,6abc.com,41.1288481,-74.6868815,Hard Rock Atlantic City,39.36019840000001,-74.4204805,Atlantic County,1,706,Hard Rock Atlantic City,1,Quadrant 1
