news_url,outlet,outlet_latitude,outlet_longitude,gpe,gpe_latitude,gpe_longitude
https://www.themontynews.org/single-post/2019/09/12/2019/10/19/Groundbreaking-Ceremony-for-86-Unit-Affordable-Apartment-Building-in-Montgomery-Township-on-Oct-23,themontynews.org,40.4675835,-74.6628114,Blawenburg,40.4076607,-74.7022475
https://www.themontynews.org/single-post/2019/09/12/2019/10/19/Groundbreaking-Ceremony-for-86-Unit-Affordable-Apartment-Building-in-Montgomery-Township-on-Oct-23,themontynews.org,40.4675835,-74.6628114,Griggstown,40.4378831,-74.6132128
https://www.themontynews.org/single-post/2019/09/12/2019/10/19/Groundbreaking-Ceremony-for-86-Unit-Affordable-Apartment-Building-in-Montgomery-Township-on-Oct-23,themontynews.org,40.4675835,-74.6628114,Montgomery,40.4329141,-74.66346399999999
https://www.themontynews.org/single-post/2018/09/16/Shirley-J-Lang-83,themontynews.org,40.4675835,-74.6628114,Blawenburg,40.4076607,-74.7022475
https://www.themontynews.org/single-post/2018/09/16/Shirley-J-Lang-83,themontynews.org,40.4675835,-74.6628114,Griggstown,40.4378831,-74.6132128
https://www.themontynews.org/single-post/2018/09/16/Shirley-J-Lang-83,themontynews.org,40.4675835,-74.6628114,Montgomery,40.4329141,-74.66346399999999
https://www.themontynews.org/single-post/2018/09/16/Shirley-J-Lang-83,themontynews.org,40.4675835,-74.6628114,Somerville,40.5742696,-74.60987999999999
https://www.themontynews.org/single-post/2018/09/16/Shirley-J-Lang-83,themontynews.org,40.4675835,-74.6628114,Melanoma,40.0583238,-74.4056612
https://www.themontynews.org/single-post/2018/09/16/Shirley-J-Lang-83,themontynews.org,40.4675835,-74.6628114,California,40.0583238,-74.4056612
https://www.themontynews.org/single-post/2018/09/16/Shirley-J-Lang-83,themontynews.org,40.4675835,-74.6628114,Librascope,40.0583238,-74.4056612
https://www.themontynews.org/single-post/2018/09/16/Shirley-J-Lang-83,themontynews.org,40.4675835,-74.6628114,Glendale,40.2464974,-74.7823842
https://www.themontynews.org/single-post/2018/09/16/Shirley-J-Lang-83,themontynews.org,40.4675835,-74.6628114,Michigan,40.0583238,-74.4056612
https://www.themontynews.org/single-post/2018/09/16/Shirley-J-Lang-83,themontynews.org,40.4675835,-74.6628114,Highland Cemetery,40.3945768,-74.7660482
https://www.themontynews.org/single-post/2018/09/16/Shirley-J-Lang-83,themontynews.org,40.4675835,-74.6628114,St. Jude’s,40.0583238,-74.4056612
https://www.themontynews.org/single-post/2019/10/07/2019/10/31/Christine-Madrid-R-Candidate-for-NJ-Assembly,themontynews.org,40.4675835,-74.6628114,Blawenburg,40.4076607,-74.7022475
https://www.themontynews.org/single-post/2019/10/07/2019/10/31/Christine-Madrid-R-Candidate-for-NJ-Assembly,themontynews.org,40.4675835,-74.6628114,Griggstown,40.4378831,-74.6132128
https://www.themontynews.org/single-post/2019/10/07/2019/10/31/Christine-Madrid-R-Candidate-for-NJ-Assembly,themontynews.org,40.4675835,-74.6628114,Montgomery,40.4329141,-74.66346399999999
https://www.themontynews.org/single-post/2019/10/07/2019/10/31/Christine-Madrid-R-Candidate-for-NJ-Assembly,themontynews.org,40.4675835,-74.6628114,Trenton,40.2205824,-74.759717
https://www.themontynews.org/single-post/2019/01/03/Rocky-Hill-Resident-Zimmerman-Announces-Candidacy-for-Assembly-Seat-in-District-16,themontynews.org,40.4675835,-74.6628114,Blawenburg,40.4076607,-74.7022475
https://www.themontynews.org/single-post/2019/01/03/Rocky-Hill-Resident-Zimmerman-Announces-Candidacy-for-Assembly-Seat-in-District-16,themontynews.org,40.4675835,-74.6628114,Griggstown,40.4378831,-74.6132128
https://www.themontynews.org/single-post/2019/01/03/Rocky-Hill-Resident-Zimmerman-Announces-Candidacy-for-Assembly-Seat-in-District-16,themontynews.org,40.4675835,-74.6628114,Montgomery,40.4329141,-74.66346399999999
https://www.themontynews.org/single-post/2019/10/08/00f0d6_3bafa2c25eff8003908e368bc9bf66f0_1117.json,themontynews.org,40.4675835,-74.6628114,Blawenburg,40.4076607,-74.7022475
https://www.themontynews.org/single-post/2019/10/08/00f0d6_3bafa2c25eff8003908e368bc9bf66f0_1117.json,themontynews.org,40.4675835,-74.6628114,Griggstown,40.4378831,-74.6132128
https://www.themontynews.org/single-post/2019/10/08/00f0d6_3bafa2c25eff8003908e368bc9bf66f0_1117.json,themontynews.org,40.4675835,-74.6628114,Montgomery,40.4329141,-74.66346399999999
