Filename,RowCount
98_patch.com_new-jersey_newmilford-nj.csv,138
85_www.dailyprincetonian.com.csv,118
307_www.shorelocalnews.com_.csv,211
127_dailyvoice.com_new-jersey_cresskill.csv,299
219_countywatchers.wordpress.com_.csv,27
270_wobm.com_.csv,1386
240_newjerseybuzz.com_.csv,8
229_hudsoncountyview.com_.csv,336
99_www.hobokenhorse.com_.csv,81
43_somore.org_.csv,3
280_www.civicstory.org.csv,6
102_patch.com_new-jersey_ramsey-nj.csv,151
110_patch.com_new-jersey_summit.csv,279
135_dailyvoice.com_new-jersey_northernhighlands.csv,344
136_dailyvoice.com_new-jersey_northernvalley.csv,342
228_hellenicnews.com_.csv,219
141_dailyvoice.com_new-jersey_ridgewood.csv,361
167_www.theobserver.com_.csv,67
317_www.visionsnewspaper.com_.csv,2
125_www.newsindiatimes.com.csv,2
188_www.jerseyshoreonline.com_.csv,363
254_sojo1049.com_.csv,863
81_patch.com_new-jersey_holmdel-hazlet.csv,220
125_dailyvoice.com_new-jersey_bergenfield.csv,427
133_www.ocsentinel.com_.csv,2
160_www.the-gazette-newspaper.com_.csv,2
10_rennamedia.com_publications_mountainside-view_.csv,2
58_unionnewsdaily.com.csv,2
150_www.roi-nj.com_.csv,248
212_www.newjerseyhills.com_observer-tribune_.csv,261
281_www.classicoldieswmid.com_.csv,61
141_www.princetonmagazine.com_.csv,143
11_brick.shorebeat.com.csv,180
231_latribunanj.com_.csv,3
134_dailyvoice.com_new-jersey_mahwah.csv,334
129_dailyvoice.com_new-jersey_fairlawn.csv,331
239_www.pressofatlanticcity.com_currents_gazettes_middle_township_.csv,27
142_dailyvoice.com_new-jersey_rutherford.csv,303
309_www.telemundo47.com_.csv,2
297_www.njpen.com.csv,285
28_mycommunitysource.com.csv,144
79_patch.com_new-jersey_flemington.csv,160
130_dailyvoice.com_new-jersey_fortlee.csv,430
329_www.wwfm.org_.csv,125
29_newjersey.news12.com_.csv,480
330_www1.nyc.gov_site_media_radio_radio-home.page.csv,2
104_patch.com_new-jersey_redbank.csv,154
250_www.tapinto.net_towns_bridgewater-slash-raritan_.csv,2
279_www.tapinto.net_towns_morristown_.csv,2
17_gujaratdarpan.com.csv,24
95_patch.com_new-jersey_middletown-nj.csv,238
238_www.pressofatlanticcity.com_currents_gazettes_mainland_.csv,35
144_dailyvoice.com_new-jersey_southpassaic_.csv,495
234_www.pressofatlanticcity.com_currents_gazettes_downbeach_.csv,17
323_www.wlvt.org_.csv,7
94_patch.com_new-jersey_middlesex.csv,85
118_patch.com_new-jersey_westorange.csv,184
120_medium.com_the-mantua-sun.csv,13
193_www.mainlinemedianews.com_mainlinetimes_.csv,8
90_patch.com_new-jersey_manville.csv,135
145_dailyvoice.com_new-jersey_teaneck.csv,322
315_www.wnyc.org_.csv,9
131_dailyvoice.com_new-jersey_garfield.csv,327
221_downbeachbuzz.com_.csv,2
96_patch.com_new-jersey_morris.csv,356
92_patch.com_new-jersey_matawan-aberdeen.csv,182
316_www.tristatevoice.com_.csv,44
12_rennamedia.com_publications_our-town-rahway_.csv,2
66_wtsr.org_.csv,2
315_www.theyeshivaworld.com_.csv,474
121_medium.com_the-williamstown-sun.csv,16
106_patch.com_new-jersey_scotchplains.csv,194
174_www.towntopics.com.csv,291
111_patch.com_new-jersey_tomsriver.csv,252
203_920thejersey.com_.csv,103
236_www.pressofatlanticcity.com_currents_gazettes_galloway_township_.csv,23
158_www.stocktonargo.com.csv,2
107_patch.com_new-jersey_secaucus.csv,121
245_njbmagazine.com_.csv,233
237_www.pressofatlanticcity.com_currents_gazettes_hamilton_township_.csv,17
7_rennamedia.com_publications_life-in-linden_.csv,2
276_www.951wayv.com_.csv,58
101_patch.com_new-jersey_pointpleasant.csv,239
