news_url,outlet,outlet_latitude,outlet_longitude,gpe,gpe_latitude,gpe_longitude,gpe_occurrences
https://www.themontynews.org/single-post/2019/10/07/00f0d6_4db7264f44cd90e17801e7a1f795c758_1289.json,themontynews.org,40.4675835,-74.6628114,Trenton,40.2205824,-74.759717,1
https://www.themontynews.org/single-post/2019/06/04/Portrait-of-a-Graduate-Montgomery-Township-Deputy-Mayor-Earns-Bachelor%E2%80%99s-Degree,themontynews.org,40.4675835,-74.6628114,Hamilton Township,39.4941863,-74.7347674,1
https://www.themontynews.org/single-post/2019/06/04/Portrait-of-a-Graduate-Montgomery-Township-Deputy-Mayor-Earns-Bachelor%E2%80%99s-Degree,themontynews.org,40.4675835,-74.6628114,Montgomery Township,40.4329141,-74.66346399999999,1
https://www.themontynews.org/single-post/2019/06/04/Portrait-of-a-Graduate-Montgomery-Township-Deputy-Mayor-Earns-Bachelor%E2%80%99s-Degree,themontynews.org,40.4675835,-74.6628114,New Jersey,40.0583238,-74.4056612,1
https://www.themontynews.org/single-post/2019/06/04/Portrait-of-a-Graduate-Montgomery-Township-Deputy-Mayor-Earns-Bachelor%E2%80%99s-Degree,themontynews.org,40.4675835,-74.6628114,Connecticut,40.0583238,-74.4056612,1
https://www.themontynews.org/single-post/2019/06/04/Portrait-of-a-Graduate-Montgomery-Township-Deputy-Mayor-Earns-Bachelor%E2%80%99s-Degree,themontynews.org,40.4675835,-74.6628114,Princeton,40.3572976,-74.6672226,1
https://www.themontynews.org/single-post/2019/06/04/Portrait-of-a-Graduate-Montgomery-Township-Deputy-Mayor-Earns-Bachelor%E2%80%99s-Degree,themontynews.org,40.4675835,-74.6628114,California,40.0583238,-74.4056612,1
https://www.themontynews.org/single-post/2019/06/04/Portrait-of-a-Graduate-Montgomery-Township-Deputy-Mayor-Earns-Bachelor%E2%80%99s-Degree,themontynews.org,40.4675835,-74.6628114,Vail,40.0583238,-74.4056612,1
https://www.themontynews.org/single-post/2019/06/04/Portrait-of-a-Graduate-Montgomery-Township-Deputy-Mayor-Earns-Bachelor%E2%80%99s-Degree,themontynews.org,40.4675835,-74.6628114,Colorado,40.0583238,-74.4056612,1
https://www.themontynews.org/single-post/2019/06/04/Portrait-of-a-Graduate-Montgomery-Township-Deputy-Mayor-Earns-Bachelor%E2%80%99s-Degree,themontynews.org,40.4675835,-74.6628114,Park City,40.0583238,-74.4056612,1
https://www.themontynews.org/single-post/2019/06/04/Portrait-of-a-Graduate-Montgomery-Township-Deputy-Mayor-Earns-Bachelor%E2%80%99s-Degree,themontynews.org,40.4675835,-74.6628114,Utah,40.0583238,-74.4056612,1
https://www.themontynews.org/single-post/2019/06/04/Portrait-of-a-Graduate-Montgomery-Township-Deputy-Mayor-Earns-Bachelor%E2%80%99s-Degree,themontynews.org,40.4675835,-74.6628114,San Francisco,40.0583238,-74.4056612,1
https://www.themontynews.org/single-post/2019/06/04/Portrait-of-a-Graduate-Montgomery-Township-Deputy-Mayor-Earns-Bachelor%E2%80%99s-Degree,themontynews.org,40.4675835,-74.6628114,Lawrenceville,40.3016375,-74.7361013,1
https://www.themontynews.org/single-post/2018/03/01/A-Time-for-Reflection,themontynews.org,40.4675835,-74.6628114,Lent,40.0583238,-74.4056612,1
https://www.themontynews.org/single-post/2018/03/01/A-Time-for-Reflection,themontynews.org,40.4675835,-74.6628114,NC,40.0583238,-74.4056612,1
https://www.themontynews.org/single-post/2018/03/01/A-Time-for-Reflection,themontynews.org,40.4675835,-74.6628114,Trenton,40.2205824,-74.759717,1
https://www.themontynews.org/single-post/2019/01/02/First-Baby-of-the-New-Year,themontynews.org,40.4675835,-74.6628114,Somerset,40.5292099,-74.64004320000001,2
https://www.themontynews.org/single-post/2019/01/02/First-Baby-of-the-New-Year,themontynews.org,40.4675835,-74.6628114,Somerset County’s,40.5292099,-74.64004320000001,1
https://www.themontynews.org/single-post/2019/01/02/First-Baby-of-the-New-Year,themontynews.org,40.4675835,-74.6628114,MD,40.0583238,-74.4056612,1
https://www.themontynews.org/single-post/2019/01/02/First-Baby-of-the-New-Year,themontynews.org,40.4675835,-74.6628114,US,40.0583238,-74.4056612,1
https://www.themontynews.org/single-post/2019/01/02/First-Baby-of-the-New-Year,themontynews.org,40.4675835,-74.6628114,New Jersey,40.0583238,-74.4056612,3
https://www.themontynews.org/single-post/2019/01/02/First-Baby-of-the-New-Year,themontynews.org,40.4675835,-74.6628114,Charlotte,40.0583238,-74.4056612,1
https://www.themontynews.org/single-post/2019/01/02/First-Baby-of-the-New-Year,themontynews.org,40.4675835,-74.6628114,Liam,40.0583238,-74.4056612,1
https://www.themontynews.org/single-post/bernice-tina-jalloh-democrate-for-somerset-county-surrogate,themontynews.org,40.4675835,-74.6628114,Somerset County,40.5292099,-74.64004320000001,1
https://www.themontynews.org/single-post/bernice-tina-jalloh-democrate-for-somerset-county-surrogate,themontynews.org,40.4675835,-74.6628114,Sr.,40.0583238,-74.4056612,1
https://www.themontynews.org/single-post/bernice-tina-jalloh-democrate-for-somerset-county-surrogate,themontynews.org,40.4675835,-74.6628114,Montgomery Township,40.4329141,-74.66346399999999,2
https://www.themontynews.org/single-post/2019/02/26/Montgomery-Robotics-Team-1403-Blasts-into-New-Galaxies,themontynews.org,40.4675835,-74.6628114,n’t,40.0583238,-74.4056612,1
https://www.themontynews.org/single-post/2019/02/26/Montgomery-Robotics-Team-1403-Blasts-into-New-Galaxies,themontynews.org,40.4675835,-74.6628114,F.I.R.S.T,40.0583238,-74.4056612,1
https://www.themontynews.org/single-post/2018/02/26/Judith-A-Peters-65,themontynews.org,40.4675835,-74.6628114,Hammond,39.6365056,-74.8023853,1
https://www.themontynews.org/single-post/2018/02/26/Judith-A-Peters-65,themontynews.org,40.4675835,-74.6628114,LA,40.0583238,-74.4056612,1
https://www.themontynews.org/single-post/2018/02/26/Judith-A-Peters-65,themontynews.org,40.4675835,-74.6628114,Montgomery Township,40.4329141,-74.66346399999999,1
https://www.themontynews.org/single-post/2018/02/26/Judith-A-Peters-65,themontynews.org,40.4675835,-74.6628114,Belle Mead,40.4675835,-74.6628114,1
https://www.themontynews.org/single-post/2019/09/12/2019/10/31/Christine-Madrid-R-Candidate-for-NJ-Assembly,themontynews.org,40.4675835,-74.6628114,Trenton,40.2205824,-74.759717,1
https://www.themontynews.org/single-post/2019/06/17/Frances-Lampariello-91,themontynews.org,40.4675835,-74.6628114,Fran,41.12204089999999,-74.5804378,1
https://www.themontynews.org/single-post/2019/06/17/Frances-Lampariello-91,themontynews.org,40.4675835,-74.6628114,Abruzzi,40.0583238,-74.4056612,1
https://www.themontynews.org/single-post/2019/06/17/Frances-Lampariello-91,themontynews.org,40.4675835,-74.6628114,America,40.0583238,-74.4056612,1
https://www.themontynews.org/single-post/2019/06/17/Frances-Lampariello-91,themontynews.org,40.4675835,-74.6628114,Newark,40.735657,-74.1723667,1
