outlet,Mean_Distance,Standard_Deviation
tristatevoice.com,592.4234071516655,1119.8704369276275
glenrocknews.today,593.5074591369603,978.7472167965283
africansuntimes.com,3418.0254787402046,3048.3565467776452
essexnewsdaily.com,462.6945836528769,751.589188095524
unionnewsdaily.com,1915.341335751021,470.26376889441343
theshore1063.com,169.38914417503133,421.9910111353917
hellenicnews.com,2581.479772244334,2285.617073040989
thephilanews.com,2034.126968425677,2482.8276484838866
justcliqit.com,2655.9718881570193,3241.4146966604935
asianjournal.com,2234.3734209364748,2154.9713715359367
goleader.com,476.72198900499563,752.5711079720603
hudsoncountyview.com,405.5082216214807,965.4254354320484
radiowttm1680.com,575.4207033953633,813.7677628119887
tygodnikplus.com,425.6732906961652,530.638531447443
abc7ny.com,50.91680412390738,66.61988921488955
impactolatin.com,1216.6808076445138,1650.0820435974472
brickcitylive.com,615.4924092123132,1173.4599929508408
thepressgroup.net,499.86320739089706,904.6873323162878
thelinknews.net,281.2637613815328,948.0776307777027
tvasiausa.com,1802.3171091378374,2723.16276417211
classicoldieswmid.com,1301.2209051728355,1493.7131103923507
savejersey.com,507.55238440089016,1182.9068404077498
iheart.com,802.790315221432,745.4350065679118
afrophilly.com,1706.9656073062129,1018.6280536180643
theridernews.com,1122.401684300381,1475.9823660500424
am1660.com,526.5631933675448,1124.6329889700787
cbslocal.com,390.18032591611245,1048.0612115425354
wghtradio.com,876.626969251248,511.0586976722555
americanfarmpublications.com,558.7291858060385,1257.0667964362763
koreadailyus.com,4689.025012157188,2752.9306713221818
worldjournal.com,1718.4941734264191,2083.349366023805
law.com,952.6446755061577,1439.2979307477833
wliw.org,3920.8133147241288,2852.782507755502
burlingtoncountytimes.com,129.46199515819148,153.55974464578333
indiaabroad.com,4161.485820238384,3426.6935648434187
wtsr.org,1117.8391331791006,1074.9082494855436
southphillyreview.com,560.1155226791115,1226.3210311979835
theridgewoodblog.net,104.01683077645178,342.7134974858887
1077thebronc.com,723.8068194975901,1513.0652782961683
italiantribune.com,2067.8505687259935,1702.5004214739492
gloucestercitynews.net,38.92300843885686,4.199022517590599
hudsonreporter.com,78.53465081521182,219.4258965252283
nbcphiladelphia.com,556.2752284913371,1344.1008968243398
gothictimes.net,1531.6072390575478,
wordpress.com,1139.8199425970754,1613.8042991240916
newarkblack.com,896.2878260593038,1152.556105211658
pinebarrenstribune.com,793.0908039249529,1257.5078965025712
irishecho.com,936.3382613092201,1233.685276132073
thenubiannews.com,1565.9831174847113,2207.8847937485284
camdencc.edu,1647.1742241293684,381.0679512735199
themontynews.org,306.5449514856043,383.3358443071124
the-gazette-newspaper.com,1.9650847015579516,0.6364669999704184
bizjournals.com,1162.2062839332184,998.8155790043747
westmilfordmessenger.com,342.28955124436175,885.8105392157099
philadelphiaweekly.com,846.9759635448393,1508.9199304404087
theyeshivaworld.com,2709.613392689082,2574.6418643282827
ebcmusic.com,1014.4766734868707,1280.6596070303299
civicstory.org,507.05988645293604,978.4385056258966
thecoaster.net,148.4818130385339,595.3735152449378
my9nj.com,607.751063615523,1112.0895354644217
wbjb.org,184.9535196611226,489.6498535860443
courierpostonline.com,508.04954701851534,1017.0191234762651
thedrewacorn.com,1498.8330578368175,1544.3369931458528
dailyvoice.com,465.6521286399371,880.7198460816116
forward.com,2015.2938223756953,2217.356300802749
lavocedinewyork.com,2263.3081976682915,2248.1468118270045
newjerseybuzz.com,367.0039887313332,850.6858944068719
wlvt.org,300.9333726467618,580.6373130861131
thesunpapers.com,4295.781800906776,437.0425836455474
fdupillar.com,1226.445092651634,1626.039561965603
acprimetime.com,295.5446804019658,492.54600689143314
am970theanswer.com,864.6388246111983,1175.6687887634525
americanonewspaper.com,652.3973540690557,1102.0695582086628
brigantinenow.com,269.35851573266547,746.4352827030517
thenjsentinel.com,359.60655423056625,574.4413158983982
baristanet.com,447.6627938358899,919.8950476812513
setonian.com,651.2372605412245,1070.5021591975851
wnyc.org,1288.2211456047019,1971.0974389292305
princetonmagazine.com,843.7771251592832,1441.5148536498548
wondradio.com,276.5426714966414,608.2197996298972
urbanagendamagazine.com,607.238413064749,1250.1430198376709
951wayv.com,941.1261995436998,1157.8054116508454
pressofatlanticcity.com,239.75864365080693,786.9144571366253
timesofisrael.com,930.2229781062047,1505.9699600039914
