outlet,Mean_Distance,Standard_Deviation
uschinapress.com,1671.757464405472,1026.835258105882
920thejersey.com,2133.1978817566546,1328.5246333804498
somore.org,533.1978569779485,648.4106792636999
stocktonargo.com,1784.1684636259927,971.4941463393521
rahwayrising.com,510.92038241044844,938.1992456290163
lusoamericano.com,910.0076347411527,1455.782158258084
wctcam.com,678.1256101101723,1044.13425197247
jerseyvoices.com,715.4315424289128,1346.6425851537945
wvlt.com,108.52950787924894,247.41570121448282
new-new.com,2955.4269642376853,3593.127598811577
thehammontonnews.com,447.0600948974235,1233.077166646086
nepszava.us,1243.6316587620256,1327.3394311898187
telemundo47.com,445.8700533923258,635.3721787172069
tapinto.net,347.8239466914947,473.3463242293945
visionsnewspaper.com,124.59568279511868,193.9897081592385
thestute.com,705.8739743795578,1517.9126363409614
wpgtalkradio.com,149.07928525743426,558.2426355503195
towntopics.com,990.4493540637301,1594.3765818688428
thehunterdoncountynews.com,420.7797337274957,973.6112125918945
thebrasilians.com,2377.5475015432785,2030.5025954435903
gujarattimesusa.com,1978.2232664268975,2848.761741099701
news12.com,794.0744439944967,1478.1891877102976
ocsentinel.com,811.2194666173552,1142.1247352326282
weebly.com,24.68937609654689,19.837578320896945
wsj.com,3410.6069304405482,2794.0181400873284
radiozindagi.com,683.587366079682,1010.3998594560295
medium.com,347.1443526202154,465.2900788167944
newsindiatimes.com,1826.2885301757337,2447.780857625603
princetoninfo.com,680.9447547862046,1369.7344273748668
mainlinemedianews.com,543.3297405893561,1050.0035593312064
rutgers.edu,980.7225440421381,1297.6028232509107
roi-nj.com,438.42185739861867,1026.8822611741264
shorebeat.com,254.96625544232063,740.8299625761316
wpst.com,458.0834295898132,1057.6019227220766
wnet.org,367.0165389624525,498.7192195479221
southjerseybiz.net,247.8116217870163,675.9183134747099
wwfm.org,713.0040991247952,1490.825377177078
dirt-mag.com,3923.720944638705,729.3019610089453
hometownetv.org,93.1473760195225,209.83461810724694
universitypressclub.com,1235.4506397209477,1662.141603944059
dunellen411.com,647.387922057682,1546.7648438427905
njtvonline.org,483.8771387049737,989.7302524765145
spartaindependent.com,5077.543282324835,651.4033178322941
pocono967.com,720.6290947896765,993.465358523442
univision.com,1008.0234133907895,781.0091988779428
hammontongazette.com,114.76497299212566,236.10520647284187
rennamedia.com,327.77682239230273,781.2963931340081
mattersmagazine.com,15.872057402865984,95.11854912266797
southjerseyobserver.com,162.1483232790436,442.99985202717085
irishcentral.com,2013.609361230357,1726.249101491219
wehavegospel.com,1099.7455059555577,238.89830931378782
newstalk990.com,571.9782644526231,977.2312839573625
epgn.com,3320.6731028690515,1240.5880369659985
thepakistaninewspaper.com,5177.153085820147,3722.5894526804045
starnewsgroup.com,500.1935478646869,896.4319121605093
phillyvoice.com,447.3787077325852,926.9790395379733
phl17.com,715.4943171515285,1173.8462851590516
montclairdispatch.com,570.4935719537872,1145.6371890631935
lunj.net,552.4287906887026,559.4862184827655
theobserver.com,294.09669149430465,633.1239050056764
telemundo62.com,53.15339748704293,
njrevolutionradio.com,1413.27851485167,2274.133173394612
mybeachradio.com,357.53845211210194,936.9117602445024
townshipjournal.com,471.22368742044887,758.2171692428889
wqxr.org,67.05311366175917,227.80388195507018
statebroadcastnews.com,708.7383184556653,2039.2781748373757
literock969.com,319.6386460183315,744.8796024131025
943thepoint.com,579.820120091011,767.7716150933159
planettrenton.org,666.9822396003103,1367.4951216300979
rcan.org,14.347421009904156,22.166974575521095
reminderusa.net,370.7012609275275,610.3428850915138
woodbridge.nj.us,23.3580873477822,16.5825969996107
downbeachbuzz.com,3852.548271952684,887.6637878222873
communitynews.org,503.0831599794728,958.9291038919689
