Filename,RowCount_x,RowCount_y
314_www.themontynews.org_.csv,512,249.0
305_www.rcan.org_the-catholic-advocate.csv,6,2.0
180_www.tygodnikplus.com.csv,2,2.0
0_rennamedia.com_publications_berkeley-heights-community-news_.csv,3,2.0
236_medium.com_the-williamstown-sun.csv,22,16.0
274_wsus1023.iheart.com_.csv,456,142.0
170_www.theridernews.com.csv,552,479.0
248_www.tapinto.net_towns_berkeley-heights_.csv,635,2.0
40_radio.rutgers.edu_.csv,146,50.0
78_www.brazilianpress.com.csv,2,
312_www.theepochtimes.com_.csv,3399,2543.0
204_943thepoint.com_.csv,3584,1360.0
51_thenjsentinel.com_.csv,528,363.0
239_nepszava.us.csv,4,2.0
135_www.philadelphiaweekly.com_.csv,243,
151_communitynews.org_hopewell-express_.csv,3,
155_www.spartaindependent.com_.csv,228,126.0
232_literock969.com_.csv,2826,922.0
328_www.wvlt.com_.csv,225,7.0
198_www.mypaperonline.com_category_east-hanoverflorham-park-news.csv,2,
166_thesunpapers.com_washington-twp-sun_.csv,3,
199_www.mypaperonline.com_category_hanover-news.csv,2,
93_patch.com_new-jersey_mendham-chester.csv,702,182.0
123_hudsonreporter.com_category_issues_bayonne-life-on-the-peninsula-issue_.csv,2,
108_patch.com_new-jersey_southbrunswick.csv,700,199.0
285_www.tapinto.net_towns_north-plainfield-slash-green-brook_.csv,2,
213_brickcitylive.com.csv,284,
82_patch.com_new-jersey_hopatcong-sparta.csv,554,165.0
119_patch.com_new-jersey_westwood-hillsdale.csv,949,148.0
270_www.tapinto.net_towns_holmdel-and-colts-neck_.csv,581,
251_princetoninfo.com_.csv,802,2.0
192_www.mainlinemedianews.com_mainlinesuburbanlife_.csv,166,8.0
281_www.tapinto.net_towns_new-brunswick_.csv,430,
202_6abc.com_.csv,7168,3021.0
230_impactolatin.com_.csv,9,
259_thehunterdoncountynews.com_.csv,318,
147_communitynews.org_.csv,954,
9_rennamedia.com_publications_madison-monthly_.csv,3,
284_www.tapinto.net_towns_newton_.csv,305,
248_philadelphia.cbslocal.com_.csv,2816,540.0
263_www.tapinto.net_towns_franklin-township_.csv,310,
287_www.tapinto.net_towns_paramus_.csv,211,
47_thecoaster.net_wordpress_.csv,212,98.0
300_www.pennjerseyradio.org_.csv,2,
290_www.tapinto.net_towns_paterson_.csv,313,3.0
52_thepakistaninewspaper.com_.csv,4,2.0
242_www.pressofatlanticcity.com_currents_gazettes_upper_township_.csv,43,8.0
291_www.irishecho.com.csv,389,212.0
137_dailyvoice.com_new-jersey_northpassaic.csv,1003,451.0
304_www.princetontv.org_Home.html.csv,2,
115_patch.com_new-jersey_watchung-greenbrook.csv,575,121.0
310_www.telemundo62.com_.csv,3,
272_www.tapinto.net_towns_livingston_.csv,382,
103_www.italiantribune.com_.csv,147,
168_www.thepauwwow.org_.csv,206,
189_www.jerseyshoreonline.com_thehowelltimes_.csv,3,
249_www.tapinto.net_towns_bloomfield_.csv,727,2.0
264_www.tapinto.net_towns_hackensack_.csv,211,
76_www.banglapatrikausa.com_.csv,2,
246_www.tapinto.net_towns_bayonne_.csv,288,3.0
232_www.northjersey.com_.csv,5439,3803.0
62_wjlp3.com_.csv,27,
140_dailyvoice.com_new-jersey_ridgefieldpark.csv,1039,469.0
97_www.hammontongazette.com_.csv,14,3.0
18_rennamedia.com_publications_warren-monthly_.csv,3,
162_thesunpapers.com_shamong-sun_.csv,3,
241_newjerseyglobe.com_.csv,1796,1129.0
113_www.lusoamericano.com.csv,28,
78_patch.com_new-jersey_fairlawn-saddlebrook.csv,995,146.0
128_dailyvoice.com_new-jersey_englewood.csv,678,306.0
122_www.new-new.com_about.asp.csv,2,
208_www.mypaperonline.com_category_the-mt-olive-news.csv,2,
243_www.pressofatlanticcity.com_.csv,2,
50_thelinknews.net.csv,469,
74_www.anointedonline.net_.csv,16,2.0
133_dailyvoice.com_new-jersey_lyndhurst.csv,670,293.0
255_southjerseyobserver.com_.csv,216,2.0
274_www.tapinto.net_towns_middletown_.csv,565,
15_rennamedia.com_publications_spirit-of-union_.csv,3,2.0
162_www.thecore.fm_public_index.php.csv,2,2.0
122_hudsonreporter.com_category_issues_07030-hoboken-issue_.csv,2,
4_rennamedia.com_publications_garwood-times_.csv,3,
272_wpst.com_.csv,2814,1008.0
299_www.ntd.tv.csv,2,2.0
294_www.mattersmagazine.com_stories.csv,6,
88_patch.com_new-jersey_longvalley.csv,692,193.0
151_www.scoopusanewspaper.com_.csv,2,
296_www.nbcphiladelphia.com_.csv,3998,1913.0
156_www.starandwave.com.csv,2,2.0
284_www.ebcmusic.com_.csv,13,
138_dailyvoice.com_new-jersey_paramus.csv,724,311.0
19_rennamedia.com_publications_watchung-post_.csv,3,
296_www.tapinto.net_towns_roxbury_.csv,351,2.0
101_www.icnradio.com_.csv,2,
55_thestute.com_.csv,3,
2_rennamedia.com_publications_cranford-monthly_.csv,3,2.0
197_www.mypaperonline.com_category_caldwell-news.csv,2,
57_torchbcc.com_.csv,2,
88_www.dirt-mag.com_.csv,108,73.0
322_www.wliw.org_.csv,400,21.0
15_glenrocknews.today_.csv,298,
105_patch.com_new-jersey_riverdell.csv,883,138.0
86_patch.com_new-jersey_littlesilver.csv,594,90.0
99_patch.com_new-jersey_newprovidence.csv,686,130.0
91_www.epgn.com_.csv,158,
260_www.tapinto.net_towns_elizabeth_.csv,280,
327_www.wsj.com_.csv,2367,
97_patch.com_new-jersey_newbrunswick.csv,695,244.0
188_www.westmilfordmessenger.com_.csv,227,142.0
17_rennamedia.com_publications_the-chathams_.csv,3,
313_www.thehammontonnews.com_.csv,187,
81_www.burlingtoncountytimes.com_.csv,4,
89_patch.com_new-jersey_manchester-nj.csv,466,157.0
245_www.tapinto.net_towns_basking-ridge.csv,323,
109_patch.com_new-jersey_southorange.csv,679,115.0
21_hometownetv.org_.csv,2,
173_www.townshipjournal.com_.csv,237,144.0
87_patch.com_new-jersey_longbranch.csv,724,177.0
252_savejersey.com_.csv,1319,238.0
253_www.tapinto.net_towns_clark_.csv,389,
113_patch.com_new-jersey_verona.csv,938,117.0
311_www.thedrewacorn.com_.csv,815,35.0
155_communitynews.org_trenton-downtowner_.csv,3,
312_www.tapinto.net_towns_westfield_.csv,541,
269_www.tapinto.net_towns_hillside_.csv,155,
271_wpgtalkradio.com_.csv,3148,1394.0
286_www.goleader.com_.csv,137,28.0
112_patch.com_new-jersey_triboro.csv,569,121.0
161_www.thebrasilians.com.csv,261,
159_www.tcnjsignal.net.csv,641,367.0
157_thepressgroup.net_category_northern-valley-press_.csv,40,
76_patch.com_new-jersey_asbury-park.csv,735,166.0
107_www.koreadailyus.com_.csv,116,49.0
299_www.tapinto.net_towns_somerset-hills_.csv,243,
1_rennamedia.com_publications_clark-monthly_.csv,3,2.0
304_www.tapinto.net_towns_springfield_.csv,311,
120_www.my9nj.com.csv,85,10.0
143_dailyvoice.com_new-jersey_saddlebrook.csv,952,425.0
80_patch.com_new-jersey_haddon.csv,847,167.0
201_24horasnewspaper.com_.csv,3,
282_www.courierpostonline.com_.csv,2594,1938.0
301_www.phillyvoice.com_.csv,1718,1330.0
139_dailyvoice.com_new-jersey_pascackvalley.csv,794,339.0
205_abc7ny.com_new-jersey_.csv,5,
54_theshore1063.com_.csv,43,
198_www.xpn.org_.csv,6,
258_www.tapinto.net_towns_east-orange-slash-orange_.csv,215,
240_www.pressofatlanticcity.com_currents_gazettes_pleasantville_absecon_.csv,63,7.0
258_statebroadcastnews.com_category_garden_.csv,8,
59_wbjb.org_home.php_.csv,140,5.0
214_brigantinenow.com_.csv,190,12.0
8_arabvoice.com_.csv,2,
242_newstalk990.com_.csv,139,40.0
85_patch.com_new-jersey_lakewood-nj.csv,588,88.0
275_wurdradio.com_.csv,156,3.0
244_www.tapinto.net_towns_barnegat-slash-waretown_.csv,581,3.0
291_www.tapinto.net_towns_piscataway_.csv,501,
211_www.mypaperonline.com_category_west-orange-news.csv,2,
6_rennamedia.com_publications_life-in-kenilworth_.csv,3,2.0
145_www.rahwayrising.com_.csv,1710,148.0
196_www.mypaperonline.com_category_black-river-news.csv,2,
235_medium.com_the-mantua-sun.csv,23,12.0
1_987thecoast.com_.csv,601,2.0
73_www.americaoggi.info.csv,2,
251_www.tapinto.net_towns_camden_.csv,229,
279_www.camdencc.edu_student_life_campus-press_.csv,2,
116_patch.com_new-jersey_west-windsor.csv,488,86.0
67_www.1077thebronc.com_.csv,131,4.0
159_thesunpapers.com_berlin-sun_.csv,3,
211_baristanet.com.csv,768,326.0
177_www.tvasiausa.com.csv,16,
103_patch.com_new-jersey_randolph.csv,432,84.0
186_www.facebook.com_BREAKINGNEWSOFTRENTON.csv,470,
268_www.tapinto.net_towns_hillsborough_.csv,317,
290_www.irishcentral.com_.csv,1563,1289.0
264_thepositivecommunity.com_.csv,536,306.0
207_am970theanswer.com_.csv,390,136.0
303_www.posteaglenewspaper.com_.csv,408,170.0
210_balitangamerica.tv_.csv,523,
149_communitynews.org_ewing-observer_.csv,3,
46_tapon1070.com_.csv,37,
224_fduequinox.wordpress.com_.csv,406,269.0
316_www.wnyc.org_series_new-jersey-public-radio_.csv,2,
246_njjewishnews.timesofisrael.com_.csv,2254,595.0
297_www.tapinto.net_towns_scotch-plains-slash-fanwood_.csv,517,
196_www.wsou.net_.csv,72,32.0
273_www.tapinto.net_towns_madison_.csv,619,
237_montclairdispatch.com.csv,159,117.0
158_thepressgroup.net_category_pascack-press_.csv,35,
300_www.tapinto.net_towns_somerville_.csv,308,
287_www.gujaratsamachar.com.csv,11,
53_theridgewoodblog.net_.csv,3,
183_www.urbanagendamagazine.com_.csv,144,104.0
187_www.facebook.com_JerseyShoreHurricaneNews.csv,173,
298_www.tapinto.net_towns_soma_.csv,431,
8_rennamedia.com_publications_long-hill-leader_.csv,3,2.0
243_newtownpress.com_.csv,544,305.0
295_www.tapinto.net_towns_roselle-roselle-park_.csv,318,
293_www.law.com_thelegalintelligencer_.csv,1158,122.0
203_www.mypaperonline.com_category_millburn-news.csv,2,
115_www.mcccvoice.org_.csv,145,55.0
114_patch.com_new-jersey_wall.csv,632,129.0
77_www.bluejersey.com_.csv,250,
109_www.lavocedinewyork.com_en_.csv,168,157.0
150_communitynews.org_hamilton-post_.csv,3,
195_www.mycentraljersey.com_.csv,3863,3007.0
200_1057thehawk.com_.csv,3381,1442.0
154_www.snjtoday.com_.csv,2,
235_www.pressofatlanticcity.com_currents_gazettes_egg_harbor_township_.csv,123,23.0
225_forward.com_.csv,741,489.0
4_africansuntimes.com_.csv,129,
65_wondradio.com_.csv,616,45.0
256_www.tapinto.net_towns_east-brunswick_.csv,400,
331_mybeachradio.com_.csv,2302,1179.0
126_dailyvoice.com_new-jersey_cliffsidepark_.csv,1968,1018.0
70_www.ahherald.com_.csv,265,113.0
275_www.tapinto.net_towns_millburn-slash-short-hills_.csv,416,
84_patch.com_new-jersey_jersey-city.csv,925,171.0
63_wmizradio.com_index1.html.csv,2,
83_patch.com_new-jersey_hopewell-pennington.csv,446,54.0
172_www.thewhitonline.com.csv,3,
257_starnewsgroup.com_.csv,944,16.0
288_www.indiaabroad.com.csv,568,3.0
288_www.tapinto.net_towns_parsippany_.csv,386,
181_www.ukrweekly.com.csv,2,
269_wmbctv.com_.csv,231,6.0
307_www.tapinto.net_towns_union_.csv,500,
302_www.tapinto.net_towns_south-plainfield_.csv,503,
306_www.tapinto.net_towns_summit_.csv,439,
60_wcvhfm.weebly.com_news.html.csv,2,
285_www.gloucestercitynews.net_clearysnotebook_gloucester_city_news_.csv,3,3.0
252_www.tapinto.net_towns_chatham_.csv,351,
112_www.lunj.net.csv,16,
3_rennamedia.com_publications_fanwood-post_.csv,3,
226_gothictimes.net_.csv,3,2.0
100_patch.com_new-jersey_oceancity.csv,756,211.0
31_njrevolutionradio.com_.csv,462,115.0
16_rennamedia.com_publications_summit-times_.csv,3,
179_www.twp.woodbridge.nj.us_244_TV-35-36.csv,2,
146_dailyvoice.com_new-jersey_wyckoff.csv,866,371.0
91_patch.com_new-jersey_marlboro-coltsneck.csv,696,114.0
24_justcliqit.com.csv,153,
271_www.tapinto.net_towns_linden_.csv,235,
261_thenubiannews.com_.csv,543,
244_nj1015.com_category_new-jersey-news_.csv,6,
250_pocono967.com_.csv,285,6.0
278_www.tapinto.net_towns_montville_.csv,381,
77_patch.com_new-jersey_edison-metuchen.csv,667,142.0
132_dailyvoice.com_new-jersey_hackensack.csv,1100,497.0
153_communitynews.org_princeton-echo_.csv,3,
247_www.tapinto.net_towns_belmar-slash-lake-como_.csv,398,
306_www.recordonline.com_.csv,564,163.0
286_www.tapinto.net_towns_nutley_.csv,955,
283_www.divyabhaskar.co.in.csv,21,3.0
124_hudsonreporter.com_category_issues_jersey-city-magazine-issue_.csv,2,
