news_url,outlet,outlet_latitude,outlet_longitude,gpe,gpe_latitude,gpe_longitude,gpe_county,gpe_occurrences,group_ID,gpe_new,gpe_sum
https://rennamedia.com/publications/clark-monthly/,rennamedia.com,40.6808726,-74.4310524,Oktoberfest,37.09024,-95.712891,,1,1,Oktoberfest,7
https://rennamedia.com/publications/berkeley-heights-community-news/,rennamedia.com,40.6808726,-74.4310524,Berkeley,37.8715226,-122.273042,Alameda County,8,3,Berkeley,8
https://rennamedia.com/publications/berkeley-heights-community-news/,rennamedia.com,40.6808726,-74.4310524,Berkeley Heights’,40.6808726,-74.4310524,Union County,1,11,Berkeley Heights’,3
http://987thecoast.com/election-day-2019-coverage/,987thecoast.com,38.9917797,-74.8148894,Banning,33.9255713,-116.8764103,Riverside County,1,0,Banning,1
http://987thecoast.com/election-day-2019-coverage/,987thecoast.com,38.9917797,-74.8148894,Cumberland,35.8994729,-85.02334599999999,Cumberland County,1,1,Cumberland,1
http://987thecoast.com/election-day-2019-coverage/,987thecoast.com,38.9917797,-74.8148894,Cape,37.09024,-95.712891,,1,2,Cape,2
http://987thecoast.com/election-day-2019-coverage/,987thecoast.com,38.9917797,-74.8148894,Ocean City,38.3365032,-75.0849058,Worcester County,4,3,Ocean City,4
http://987thecoast.com/election-day-2019-coverage/,987thecoast.com,38.9917797,-74.8148894,Dc,38.9071923,-77.0368707,District of Columbia,1,4,Dc,1
http://987thecoast.com/election-day-2019-coverage/,987thecoast.com,38.9917797,-74.8148894,Lower Township,38.9738981,-74.925345,Cape May County,3,5,Lower Township,3
http://987thecoast.com/election-day-2019-coverage/,987thecoast.com,38.9917797,-74.8148894,Wildwood,38.9917797,-74.8148894,Cape May County,4,6,Wildwood,4
http://987thecoast.com/election-day-2019-coverage/,987thecoast.com,38.9917797,-74.8148894,West Wildwood,39.0023352,-74.82433429999999,Cape May County,1,7,West Wildwood,1
http://987thecoast.com/election-day-2019-coverage/,987thecoast.com,38.9917797,-74.8148894,Cape May County,39.105884,-74.8273184,Cape May County,19,8,Cape May County,19
http://987thecoast.com/election-day-2019-coverage/,987thecoast.com,38.9917797,-74.8148894,Middle Township,39.1201616,-74.8451915,Cape May County,2,9,Middle Township,2
http://987thecoast.com/election-day-2019-coverage/,987thecoast.com,38.9917797,-74.8148894,Dennis Township,39.1958623,-74.8156199,Cape May County,3,10,Dennis Township,3
http://987thecoast.com/election-day-2019-coverage/,987thecoast.com,38.9917797,-74.8148894,Upper Township,39.2185842,-74.7059931,Cape May County,4,11,Upper Township,4
http://987thecoast.com/election-day-2019-coverage/,987thecoast.com,38.9917797,-74.8148894,New Jersey,40.0583238,-74.4056612,,1,12,New Jersey,1
http://987thecoast.com/election-day-2019-coverage/,987thecoast.com,38.9917797,-74.8148894,Cumberland County,40.1299841,-77.2405153,Cumberland County,1,13,Cumberland County,1
http://987thecoast.com/election-day-2019-coverage/,987thecoast.com,38.9917797,-74.8148894,District 4,40.34463530000001,-75.667356,,1,14,District 4,1
http://987thecoast.com/election-day-2019-coverage/,987thecoast.com,38.9917797,-74.8148894,Washington,47.7510741,-120.7401386,,1,15,Washington,1
