news_url,outlet,outlet_latitude,outlet_longitude,gpe,gpe_latitude,gpe_longitude
https://www.themontynews.org/single-post/2018/12/30/Robert-G-Esposito-69,themontynews.org,40.4675835,-74.6628114,Blawenburg,40.4076607,-74.7022475
https://www.themontynews.org/single-post/2018/12/30/Robert-G-Esposito-69,themontynews.org,40.4675835,-74.6628114,Griggstown,40.4378831,-74.6132128
https://www.themontynews.org/single-post/2018/12/30/Robert-G-Esposito-69,themontynews.org,40.4675835,-74.6628114,Montgomery,40.4329141,-74.66346399999999
https://www.themontynews.org/single-post/2018/12/30/Robert-G-Esposito-69,themontynews.org,40.4675835,-74.6628114,Raritan,40.5695474,-74.6329363
https://www.themontynews.org/single-post/2018/12/30/Robert-G-Esposito-69,themontynews.org,40.4675835,-74.6628114,Taryn,40.0583238,-74.4056612
https://www.themontynews.org/single-post/2019/10/08/24zIqyCOGZ9wVX1WVYin3c9KZJlOTDta2n306l1V7zY.eyJpbnN0YW5jZUlkIjoiY2Q5NzRjNGQtZWE0MS00OWQ0LWE1YWYtMjZkNTEwYTQ2YzA5IiwiYXBwRGVmSWQiOiI1NWNkOTAzNi0zNmJiLTQ4MGItOGRkYy1hZmRhM2NiMmViOGQiLCJtZXRhU2l0ZUlkIjoiNWM0MDRmMmUtNDBjMy00ZWQ5LTg3OGQtOTFlOGNiMTdlZDJlIiwic2lnbkRhdGUiOiIyMDE5LTEwLTI0VDIwOjI1OjQ3LjgyN1oiLCJ1aWQiOm51bGwsImlwQW5kUG9ydCI6IjIwNy4yNDEuMjMyLjE3NS80MDk2OCIsInZlbmRvclByb2R1Y3RJZCI6bnVsbCwiZGVtb01vZGUiOmZhbHNlLCJhaWQiOiJiNGEzY2YwZi0yYWVlLTRhY2YtYmY5MS1kMGMwOTg2OGMxNWQiLCJiaVRva2VuIjoiOTFkNzAzNjMtYWE4Mi0wNzBkLTIyMjItYjczZGRiYjM4MTI3Iiwic2l0ZU93bmVySWQiOiIwMGYwZDYxYS1hZGNlLTRkZGYtOWI0OC1mODFkNDkxZTYyNGIifQ,themontynews.org,40.4675835,-74.6628114,Blawenburg,40.4076607,-74.7022475
https://www.themontynews.org/single-post/2019/10/08/24zIqyCOGZ9wVX1WVYin3c9KZJlOTDta2n306l1V7zY.eyJpbnN0YW5jZUlkIjoiY2Q5NzRjNGQtZWE0MS00OWQ0LWE1YWYtMjZkNTEwYTQ2YzA5IiwiYXBwRGVmSWQiOiI1NWNkOTAzNi0zNmJiLTQ4MGItOGRkYy1hZmRhM2NiMmViOGQiLCJtZXRhU2l0ZUlkIjoiNWM0MDRmMmUtNDBjMy00ZWQ5LTg3OGQtOTFlOGNiMTdlZDJlIiwic2lnbkRhdGUiOiIyMDE5LTEwLTI0VDIwOjI1OjQ3LjgyN1oiLCJ1aWQiOm51bGwsImlwQW5kUG9ydCI6IjIwNy4yNDEuMjMyLjE3NS80MDk2OCIsInZlbmRvclByb2R1Y3RJZCI6bnVsbCwiZGVtb01vZGUiOmZhbHNlLCJhaWQiOiJiNGEzY2YwZi0yYWVlLTRhY2YtYmY5MS1kMGMwOTg2OGMxNWQiLCJiaVRva2VuIjoiOTFkNzAzNjMtYWE4Mi0wNzBkLTIyMjItYjczZGRiYjM4MTI3Iiwic2l0ZU93bmVySWQiOiIwMGYwZDYxYS1hZGNlLTRkZGYtOWI0OC1mODFkNDkxZTYyNGIifQ,themontynews.org,40.4675835,-74.6628114,Griggstown,40.4378831,-74.6132128
https://www.themontynews.org/single-post/2019/10/08/24zIqyCOGZ9wVX1WVYin3c9KZJlOTDta2n306l1V7zY.eyJpbnN0YW5jZUlkIjoiY2Q5NzRjNGQtZWE0MS00OWQ0LWE1YWYtMjZkNTEwYTQ2YzA5IiwiYXBwRGVmSWQiOiI1NWNkOTAzNi0zNmJiLTQ4MGItOGRkYy1hZmRhM2NiMmViOGQiLCJtZXRhU2l0ZUlkIjoiNWM0MDRmMmUtNDBjMy00ZWQ5LTg3OGQtOTFlOGNiMTdlZDJlIiwic2lnbkRhdGUiOiIyMDE5LTEwLTI0VDIwOjI1OjQ3LjgyN1oiLCJ1aWQiOm51bGwsImlwQW5kUG9ydCI6IjIwNy4yNDEuMjMyLjE3NS80MDk2OCIsInZlbmRvclByb2R1Y3RJZCI6bnVsbCwiZGVtb01vZGUiOmZhbHNlLCJhaWQiOiJiNGEzY2YwZi0yYWVlLTRhY2YtYmY5MS1kMGMwOTg2OGMxNWQiLCJiaVRva2VuIjoiOTFkNzAzNjMtYWE4Mi0wNzBkLTIyMjItYjczZGRiYjM4MTI3Iiwic2l0ZU93bmVySWQiOiIwMGYwZDYxYS1hZGNlLTRkZGYtOWI0OC1mODFkNDkxZTYyNGIifQ,themontynews.org,40.4675835,-74.6628114,Montgomery,40.4329141,-74.66346399999999
https://www.themontynews.org/single-post/2019/01/16/New-Montgomery-Township-Leaders-Pledge-to-Work-Together-Towards-Shared-Goals,themontynews.org,40.4675835,-74.6628114,Blawenburg,40.4076607,-74.7022475
https://www.themontynews.org/single-post/2019/01/16/New-Montgomery-Township-Leaders-Pledge-to-Work-Together-Towards-Shared-Goals,themontynews.org,40.4675835,-74.6628114,Griggstown,40.4378831,-74.6132128
https://www.themontynews.org/single-post/2019/01/16/New-Montgomery-Township-Leaders-Pledge-to-Work-Together-Towards-Shared-Goals,themontynews.org,40.4675835,-74.6628114,Montgomery,40.4329141,-74.66346399999999
https://www.themontynews.org/single-post/2019/06/11/Sam-P-Panicaro-98,themontynews.org,40.4675835,-74.6628114,Blawenburg,40.4076607,-74.7022475
https://www.themontynews.org/single-post/2019/06/11/Sam-P-Panicaro-98,themontynews.org,40.4675835,-74.6628114,Griggstown,40.4378831,-74.6132128
https://www.themontynews.org/single-post/2019/06/11/Sam-P-Panicaro-98,themontynews.org,40.4675835,-74.6628114,Montgomery,40.4329141,-74.66346399999999
https://www.themontynews.org/single-post/2019/06/11/Sam-P-Panicaro-98,themontynews.org,40.4675835,-74.6628114,Rocky Hill,40.3998283,-74.6343244
https://www.themontynews.org/single-post/2019/06/11/Sam-P-Panicaro-98,themontynews.org,40.4675835,-74.6628114,Beverly,40.06538889999999,-74.9190558
https://www.themontynews.org/single-post/2019/09/12/00f0d6_8e6d0ac36f14ab0ebc961f42cf29e7be_773.json,themontynews.org,40.4675835,-74.6628114,Blawenburg,40.4076607,-74.7022475
https://www.themontynews.org/single-post/2019/09/12/00f0d6_8e6d0ac36f14ab0ebc961f42cf29e7be_773.json,themontynews.org,40.4675835,-74.6628114,Griggstown,40.4378831,-74.6132128
https://www.themontynews.org/single-post/2019/09/12/00f0d6_8e6d0ac36f14ab0ebc961f42cf29e7be_773.json,themontynews.org,40.4675835,-74.6628114,Montgomery,40.4329141,-74.66346399999999
https://www.themontynews.org/single-post/2019/09/12/00f0d6_8e6d0ac36f14ab0ebc961f42cf29e7be_773.json,themontynews.org,40.4675835,-74.6628114,Trenton,40.2205824,-74.759717
https://www.themontynews.org/single-post/2019/10/08/Ee4QD_90JDP4Zb9ajPe82JKYlU-ZQ_FDe_STnF1cyzw.eyJpbnN0YW5jZUlkIjoiYTcwZDhiZTMtYTU5NC00YjY1LWFiMGUtZWYyOThiYzBmM2ZkIiwiYXBwRGVmSWQiOiIxNGI4OTY4OC05YjI1LTUyMTQtZDFjYi1hM2ZiOTY4MzYxOGIiLCJtZXRhU2l0ZUlkIjoiNWM0MDRmMmUtNDBjMy00ZWQ5LTg3OGQtOTFlOGNiMTdlZDJlIiwic2lnbkRhdGUiOiIyMDE5LTEwLTA4VDE5OjMxOjI3LjgwN1oiLCJ1aWQiOm51bGwsImlwQW5kUG9ydCI6IjIwNy4yNDEuMjMzLjIxMS8zODA5MCIsInZlbmRvclByb2R1Y3RJZCI6bnVsbCwiZGVtb01vZGUiOmZhbHNlLCJhaWQiOiIxNDM3MzI0Yi04MmNjLTQ4MTItODQ1ZC04YjgwZjBjOTVjNDEiLCJiaVRva2VuIjoiZmI0ZGM0Y2QtZTU1Ny0wNWJjLTJjODMtN2VjMTQwZDcxZWQzIiwic2l0ZU93bmVySWQiOiIwMGYwZDYxYS1hZGNlLTRkZGYtOWI0OC1mODFkNDkxZTYyNGIifQ,themontynews.org,40.4675835,-74.6628114,Blawenburg,40.4076607,-74.7022475
https://www.themontynews.org/single-post/2019/10/08/Ee4QD_90JDP4Zb9ajPe82JKYlU-ZQ_FDe_STnF1cyzw.eyJpbnN0YW5jZUlkIjoiYTcwZDhiZTMtYTU5NC00YjY1LWFiMGUtZWYyOThiYzBmM2ZkIiwiYXBwRGVmSWQiOiIxNGI4OTY4OC05YjI1LTUyMTQtZDFjYi1hM2ZiOTY4MzYxOGIiLCJtZXRhU2l0ZUlkIjoiNWM0MDRmMmUtNDBjMy00ZWQ5LTg3OGQtOTFlOGNiMTdlZDJlIiwic2lnbkRhdGUiOiIyMDE5LTEwLTA4VDE5OjMxOjI3LjgwN1oiLCJ1aWQiOm51bGwsImlwQW5kUG9ydCI6IjIwNy4yNDEuMjMzLjIxMS8zODA5MCIsInZlbmRvclByb2R1Y3RJZCI6bnVsbCwiZGVtb01vZGUiOmZhbHNlLCJhaWQiOiIxNDM3MzI0Yi04MmNjLTQ4MTItODQ1ZC04YjgwZjBjOTVjNDEiLCJiaVRva2VuIjoiZmI0ZGM0Y2QtZTU1Ny0wNWJjLTJjODMtN2VjMTQwZDcxZWQzIiwic2l0ZU93bmVySWQiOiIwMGYwZDYxYS1hZGNlLTRkZGYtOWI0OC1mODFkNDkxZTYyNGIifQ,themontynews.org,40.4675835,-74.6628114,Griggstown,40.4378831,-74.6132128
